FIPS,State,County,County Population,BTM PV Res Cap,BTM PV Comm Cap,,,EIA 861M Small Scale PV Estimate,,,,Capacity MW,,,
48171,TX,Gillespie,28527,2.615649188,0.311667556,,,,,,,,,,
48173,TX,Glasscock,1128,0.103426658,0.012323799,,,,,,,,,,
48175,TX,Goliad,7208,0.660903682,0.078749947,,,,,,,,,,
48177,TX,Gonzales,20159,1.848384757,0.220244199,,,,,,,,,,
48179,TX,Gray,20919,1.918069385,0.228547467,,,,,,,,,,
48181,TX,Grayson,153613,14.08482205,1.678276309,,,,,,,,,,
48183,TX,Gregg,126095,11.56168838,1.377632434,,,,,,,,,,
48185,TX,Grimes,34252,3.140576155,0.374215204,,,,,,,,,,
48187,TX,Guadalupe,201111,18.43992792,2.197208743,,,,,,,,,,
48189,TX,Hale,31819,2.917493655,0.347633819,,,,,,,,,,
48191,TX,Hall,2737,0.250956351,0.029902692,,,,,,,,,,
48193,TX,Hamilton,8680,0.795871804,0.094832067,,,,,,,,,,
48195,TX,Hansford,4944,0.453316843,0.054014947,,,,,,,,,,
48197,TX,Hardeman,3292,0.301844468,0.035966263,,,,,,,,,,
48199,TX,Hardin,58723,5.384329486,0.641569526,,,,,,,,,,
48201,TX,Harris,5045026,462.5799474,55.11869185,,,,,,,,,,
48203,TX,Harrison,71956,6.597667226,0.786144728,,,,,,,,,,
48205,TX,Hartley,4904,0.449649231,0.053577933,,,,,,,,,,
48207,TX,Haskell,5499,0.50420496,0.060078518,,,,,,,,,,
48209,TX,Hays,304390,27.90961041,3.325568315,,,,,,,,,,
48211,TX,Hemphill,3083,0.282681195,0.033682864,,,,,,,,,,
48213,TX,Henderson,88595,8.123302127,0.967931683,,,,,,,,,,
48215,TX,Hidalgo,921549,84.49710426,10.06824848,,,,,,,,,,
48217,TX,Hill,39503,3.62204192,0.431584235,,,,,,,,,,
48219,TX,Hockley,21600,1.98051048,0.235987633,,,,,,,,,,
48221,TX,Hood,70501,6.464257839,0.770248339,,,,,,,,,,
48223,TX,Hopkins,39063,3.581698188,0.426777079,,,,,,,,,,
48225,TX,Houston,22316,2.046160734,0.243810186,,,,,,,,,,
48227,TX,Howard,30504,2.796920911,0.333266979,,,,,,,,,,
48229,TX,Hudspeth,3433,0.3147728,0.037506738,,,,,,,,,,
48231,TX,Hunt,123336,11.30871484,1.347489384,,,,,,,,,,
48233,TX,Hutchinson,19633,1.80015566,0.214497463,,,,,,,,,,
48235,TX,Irion,1463,0.134142909,0.015983792,,,,,,,,,,
48237,TX,Jack,9563,0.876834339,0.104479154,,,,,,,,,,
48239,TX,Jackson,15393,1.411388788,0.168173965,,,,,,,,,,
48241,TX,Jasper,33075,3.032656672,0.361356063,,,,,,,,,,
48243,TX,Jeff Davis,1711,0.156882103,0.01869328,,,,,,,,,,
48245,TX,Jefferson,254321,23.31876878,2.778546797,,,,,,,,,,
48247,TX,Jim Hogg,4555,0.417649316,0.049764985,,,,,,,,,,
48249,TX,Jim Wells,38804,3.557950401,0.423947413,,,,,,,,,,
