Timestamp (EST),Baseline Res Electricity,BaseLine Res NG,ASHP Res Electricity,ASHP Res NG,Baseline Comm Electricity,Baseline Comm NG,SPHP RTU Comm Electricity,SPHP RTU Comm NG,Baseline Ins Electricity,TX BTM DGPV NCF
Sun 09:00 AM,0.6534,0.5818,0.6695,0.8375,0.434097241,0.490344958,0.43835459,0.531211204,0.98536235,0.35
Sun 10:00 AM,0.7071,0.5326,0.6632,0.8381,0.421621744,0.544616021,0.464686283,0.600302848,0.993382191,0.45
Sun 11:00 AM,0.706,0.4678,0.6319,0.7765,0.451756882,0.549685316,0.503656187,0.611048038,0.99625867,0.5
Sun 12:00 PM,0.6777,0.4122,0.6004,0.7321,0.494958823,0.53099786,0.536848707,0.606045808,0.99773077,0.53
Sun 01:00 PM,0.6502,0.3696,0.5855,0.7089,0.533391653,0.505166226,0.559226221,0.597212629,0.999824274,0.5
Sun 02:00 PM,0.6371,0.3175,0.5683,0.6883,0.561224257,0.474491851,0.572766456,0.574730146,0.999484858,0.45
Sun 03:00 PM,0.6203,0.2859,0.575,0.6775,0.579747624,0.44244825,0.582433531,0.548988719,0.994048887,0.35
Sun 04:00 PM,0.6301,0.2682,0.5961,0.678,0.592715353,0.421926606,0.58337031,0.532006475,0.984663676,0.2
Sun 05:00 PM,0.6559,0.2656,0.6246,0.7003,0.59444537,0.406646601,0.569537152,0.516877505,0.974290482,0.08
Sun 06:00 PM,0.6888,0.2645,0.6525,0.6969,0.578562452,0.398221795,0.545099976,0.508107202,0.969223172,0.025
Sun 07:00 PM,0.7187,0.263,0.6847,0.6388,0.550336568,0.393977367,0.516516528,0.500961511,0.969223172,0
Sun 08:00 PM,0.7491,0.2577,0.7155,0.5599,0.516073289,0.384685214,0.520188322,0.482425978,0.961103006,0
Sun 09:00 PM,0.7771,0.2545,0.7108,0.4853,0.51234367,0.368670642,0.491839744,0.452866715,0.961103006,0
Sun 10:00 PM,0.7678,0.2616,0.6267,0.4307,0.478913273,0.358381326,0.46207036,0.436182871,0.961103006,0
Sun 11:00 PM,0.6754,0.2787,0.4997,0.3782,0.445349431,0.351292722,0.438014648,0.4257723,0.961103006,0
